,Seed,Linkage Method,Distance Metric,Number of Clusters,Color Distribution Summary
155,38,ward,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green green green green green': 0, 'green green green green green green': 0, 'green red red red': 9, 'red green green green green green green green': 0, 'red red': 1, 'red red red': 1}, 2: {'green green': 2, 'green green green': 1, 'green green green green': 1, 'green green green green green': 2, 'green green green green green green': 2, 'green red red red': 0, 'red green green green green green green green': 1, 'red red': 0, 'red red red': 0}}"
156,39,single,Jaccard,2,"{1: {'green green': 2, 'green green green': 3, 'green green green green': 3, 'green red red red red': 0, 'green red red red red red': 0, 'red green green green green green': 2, 'red red': 0, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0}, 2: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green red red red red': 1, 'green red red red red red': 5, 'red green green green green green': 0, 'red red': 2, 'red red red': 1, 'red red red red': 2, 'red red red red red': 1}}"
157,39,complete,Jaccard,2,"{1: {'green green': 2, 'green green green': 3, 'green green green green': 3, 'green red red red red': 1, 'green red red red red red': 5, 'red green green green green green': 2, 'red red': 2, 'red red red': 1, 'red red red red': 2, 'red red red red red': 1}}"
158,39,average,Jaccard,2,"{1: {'green green': 2, 'green green green': 3, 'green green green green': 3, 'green red red red red': 0, 'green red red red red red': 0, 'red green green green green green': 2, 'red red': 0, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0}, 2: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green red red red red': 1, 'green red red red red red': 5, 'red green green green green green': 0, 'red red': 2, 'red red red': 1, 'red red red red': 2, 'red red red red red': 1}}"
159,39,ward,Jaccard,2,"{1: {'green green': 2, 'green green green': 3, 'green green green green': 3, 'green red red red red': 0, 'green red red red red red': 0, 'red green green green green green': 2, 'red red': 0, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0}, 2: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green red red red red': 1, 'green red red red red red': 5, 'red green green green green green': 0, 'red red': 2, 'red red red': 1, 'red red red red': 2, 'red red red red red': 1}}"
160,40,single,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green green green green green': 0, 'green green green green green green': 0, 'green red red red': 12, 'red green green green green green green green': 0, 'red red': 1, 'red red red': 2}, 2: {'green green': 1, 'green green green': 2, 'green green green green': 2, 'green green green green green': 1, 'green green green green green green': 1, 'green red red red': 0, 'red green green green green green green green': 3, 'red red': 0, 'red red red': 0}}"
161,40,complete,Jaccard,2,"{1: {'green green': 1, 'green green green': 2, 'green green green green': 2, 'green green green green green': 1, 'green green green green green green': 1, 'green red red red': 12, 'red green green green green green green green': 3, 'red red': 1, 'red red red': 2}}"
162,40,average,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green green green green green': 0, 'green green green green green green': 0, 'green red red red': 12, 'red green green green green green green green': 0, 'red red': 1, 'red red red': 2}, 2: {'green green': 1, 'green green green': 2, 'green green green green': 2, 'green green green green green': 1, 'green green green green green green': 1, 'green red red red': 0, 'red green green green green green green green': 3, 'red red': 0, 'red red red': 0}}"
163,40,ward,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green green green green green': 0, 'green green green green green green': 0, 'green red red red': 12, 'red green green green green green green green': 0, 'red red': 1, 'red red red': 2}, 2: {'green green': 1, 'green green green': 2, 'green green green green': 2, 'green green green green green': 1, 'green green green green green green': 1, 'green red red red': 0, 'red green green green green green green green': 3, 'red red': 0, 'red red red': 0}}"
164,41,single,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green green': 0, 'green green green green green green': 0, 'green red red red red': 6, 'red green green green green green': 0, 'red green green green green green green': 0, 'red red': 1, 'red red red': 2, 'red red red red': 1}, 2: {'green green': 2, 'green green green': 2, 'green green green green green': 3, 'green green green green green green': 1, 'green red red red red': 0, 'red green green green green green': 1, 'red green green green green green green': 1, 'red red': 0, 'red red red': 0, 'red red red red': 0}}"
165,41,complete,Jaccard,2,"{1: {'green green': 2, 'green green green': 2, 'green green green green green': 3, 'green green green green green green': 1, 'green red red red red': 6, 'red green green green green green': 1, 'red green green green green green green': 1, 'red red': 1, 'red red red': 2, 'red red red red': 1}}"
166,41,average,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green green': 0, 'green green green green green green': 0, 'green red red red red': 6, 'red green green green green green': 0, 'red green green green green green green': 0, 'red red': 1, 'red red red': 2, 'red red red red': 1}, 2: {'green green': 2, 'green green green': 2, 'green green green green green': 3, 'green green green green green green': 1, 'green red red red red': 0, 'red green green green green green': 1, 'red green green green green green green': 1, 'red red': 0, 'red red red': 0, 'red red red red': 0}}"
167,41,ward,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green green': 0, 'green green green green green green': 0, 'green red red red red': 6, 'red green green green green green': 0, 'red green green green green green green': 0, 'red red': 1, 'red red red': 2, 'red red red red': 1}, 2: {'green green': 2, 'green green green': 2, 'green green green green green': 3, 'green green green green green green': 1, 'green red red red red': 0, 'red green green green green green': 1, 'red green green green green green green': 1, 'red red': 0, 'red red red': 0, 'red red red red': 0}}"
168,42,single,Jaccard,2,"{1: {'green green green': 1, 'green green green green': 1, 'green red red red red red red': 0, 'red green green green green': 5, 'red red': 0, 'red red red': 0, 'red red red red': 0, 'red red red red red red': 0}, 2: {'green green green': 0, 'green green green green': 0, 'green red red red red red red': 4, 'red green green green green': 0, 'red red': 3, 'red red red': 2, 'red red red red': 1, 'red red red red red red': 1}}"
169,42,complete,Jaccard,2,"{1: {'green green green': 1, 'green green green green': 1, 'green red red red red red red': 4, 'red green green green green': 5, 'red red': 3, 'red red red': 2, 'red red red red': 1, 'red red red red red red': 1}}"
170,42,average,Jaccard,2,"{1: {'green green green': 1, 'green green green green': 1, 'green red red red red red red': 0, 'red green green green green': 5, 'red red': 0, 'red red red': 0, 'red red red red': 0, 'red red red red red red': 0}, 2: {'green green green': 0, 'green green green green': 0, 'green red red red red red red': 4, 'red green green green green': 0, 'red red': 3, 'red red red': 2, 'red red red red': 1, 'red red red red red red': 1}}"
171,42,ward,Jaccard,2,"{1: {'green green green': 1, 'green green green green': 1, 'green red red red red red red': 0, 'red green green green green': 5, 'red red': 0, 'red red red': 0, 'red red red red': 0, 'red red red red red red': 0}, 2: {'green green green': 0, 'green green green green': 0, 'green red red red red red red': 4, 'red green green green green': 0, 'red red': 3, 'red red red': 2, 'red red red red': 1, 'red red red red red red': 1}}"
172,43,single,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green green green green green green': 0, 'green red red red red': 4, 'red red': 1, 'red red red': 2}, 2: {'green green': 2, 'green green green': 5, 'green green green green': 2, 'green green green green green green': 1, 'green red red red red': 0, 'red red': 0, 'red red red': 0}}"
173,43,complete,Jaccard,2,"{1: {'green green': 2, 'green green green': 5, 'green green green green': 2, 'green green green green green green': 1, 'green red red red red': 4, 'red red': 1, 'red red red': 2}}"
174,43,average,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green green green green green green': 0, 'green red red red red': 4, 'red red': 1, 'red red red': 2}, 2: {'green green': 2, 'green green green': 5, 'green green green green': 2, 'green green green green green green': 1, 'green red red red red': 0, 'red red': 0, 'red red red': 0}}"
175,43,ward,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green green green green green green': 0, 'green red red red red': 4, 'red red': 1, 'red red red': 2}, 2: {'green green': 2, 'green green green': 5, 'green green green green': 2, 'green green green green green green': 1, 'green red red red red': 0, 'red red': 0, 'red red red': 0}}"
176,44,single,Jaccard,2,"{1: {'green green': 1, 'green green green': 2, 'green green green green': 2, 'green red red red red red': 0, 'red green green green green': 1, 'red green green green green green': 4, 'red red': 0, 'red red red red': 0, 'red red red red red': 0}, 2: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green red red red red red': 3, 'red green green green green': 0, 'red green green green green green': 0, 'red red': 2, 'red red red red': 3, 'red red red red red': 1}}"
177,44,complete,Jaccard,2,"{1: {'green green': 1, 'green green green': 2, 'green green green green': 2, 'green red red red red red': 3, 'red green green green green': 1, 'red green green green green green': 4, 'red red': 2, 'red red red red': 3, 'red red red red red': 1}}"
178,44,average,Jaccard,2,"{1: {'green green': 1, 'green green green': 2, 'green green green green': 2, 'green red red red red red': 0, 'red green green green green': 1, 'red green green green green green': 4, 'red red': 0, 'red red red red': 0, 'red red red red red': 0}, 2: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green red red red red red': 3, 'red green green green green': 0, 'red green green green green green': 0, 'red red': 2, 'red red red red': 3, 'red red red red red': 1}}"
179,44,ward,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green red red red red red': 3, 'red green green green green': 0, 'red green green green green green': 0, 'red red': 2, 'red red red red': 3, 'red red red red red': 1}, 2: {'green green': 1, 'green green green': 2, 'green green green green': 2, 'green red red red red red': 0, 'red green green green green': 1, 'red green green green green green': 4, 'red red': 0, 'red red red red': 0, 'red red red red red': 0}}"
180,45,single,Jaccard,2,"{1: {'green green green': 1, 'green green green green green': 2, 'green red red red red red': 0, 'red green green green green': 1, 'red green green green green green': 5, 'red red': 0, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0}, 2: {'green green green': 0, 'green green green green green': 0, 'green red red red red red': 4, 'red green green green green': 0, 'red green green green green green': 0, 'red red': 5, 'red red red': 1, 'red red red red': 1, 'red red red red red': 1}}"
181,45,complete,Jaccard,2,"{1: {'green green green': 1, 'green green green green green': 2, 'green red red red red red': 4, 'red green green green green': 1, 'red green green green green green': 5, 'red red': 5, 'red red red': 1, 'red red red red': 1, 'red red red red red': 1}}"
182,45,average,Jaccard,2,"{1: {'green green green': 1, 'green green green green green': 2, 'green red red red red red': 0, 'red green green green green': 1, 'red green green green green green': 5, 'red red': 0, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0}, 2: {'green green green': 0, 'green green green green green': 0, 'green red red red red red': 4, 'red green green green green': 0, 'red green green green green green': 0, 'red red': 5, 'red red red': 1, 'red red red red': 1, 'red red red red red': 1}}"
183,45,ward,Jaccard,2,"{1: {'green green green': 1, 'green green green green green': 2, 'green red red red red red': 0, 'red green green green green': 1, 'red green green green green green': 5, 'red red': 0, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0}, 2: {'green green green': 0, 'green green green green green': 0, 'green red red red red red': 4, 'red green green green green': 0, 'red green green green green green': 0, 'red red': 5, 'red red red': 1, 'red red red red': 1, 'red red red red red': 1}}"
184,46,single,Jaccard,2,"{1: {'green green green': 0, 'green green green green': 0, 'red green green green green': 0, 'red green green green green green': 0, 'red red red': 2, 'red red red red': 2, 'red red red red red': 1}, 2: {'green green green': 2, 'green green green green': 3, 'red green green green green': 1, 'red green green green green green': 2, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0}}"
185,46,complete,Jaccard,2,"{1: {'green green green': 2, 'green green green green': 3, 'red green green green green': 1, 'red green green green green green': 2, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0}, 2: {'green green green': 0, 'green green green green': 0, 'red green green green green': 0, 'red green green green green green': 0, 'red red red': 2, 'red red red red': 2, 'red red red red red': 1}}"
186,46,average,Jaccard,2,"{1: {'green green green': 2, 'green green green green': 3, 'red green green green green': 1, 'red green green green green green': 2, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0}, 2: {'green green green': 0, 'green green green green': 0, 'red green green green green': 0, 'red green green green green green': 0, 'red red red': 2, 'red red red red': 2, 'red red red red red': 1}}"
187,46,ward,Jaccard,2,"{1: {'green green green': 2, 'green green green green': 3, 'red green green green green': 1, 'red green green green green green': 2, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0}, 2: {'green green green': 0, 'green green green green': 0, 'red green green green green': 0, 'red green green green green green': 0, 'red red red': 2, 'red red red red': 2, 'red red red red red': 1}}"
188,47,single,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green green': 0, 'green green green green green green': 0, 'green green green green green green green': 0, 'green green green green green green green green': 0, 'green red red': 12, 'red green green green green green green green green': 0, 'red red': 1}, 2: {'green green': 4, 'green green green': 1, 'green green green green green': 1, 'green green green green green green': 1, 'green green green green green green green': 3, 'green green green green green green green green': 2, 'green red red': 0, 'red green green green green green green green green': 2, 'red red': 0}}"
189,47,complete,Jaccard,2,"{1: {'green green': 4, 'green green green': 1, 'green green green green green': 1, 'green green green green green green': 1, 'green green green green green green green': 3, 'green green green green green green green green': 2, 'green red red': 12, 'red green green green green green green green green': 2, 'red red': 1}}"
190,47,average,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green green': 0, 'green green green green green green': 0, 'green green green green green green green': 0, 'green green green green green green green green': 0, 'green red red': 12, 'red green green green green green green green green': 0, 'red red': 1}, 2: {'green green': 4, 'green green green': 1, 'green green green green green': 1, 'green green green green green green': 1, 'green green green green green green green': 3, 'green green green green green green green green': 2, 'green red red': 0, 'red green green green green green green green green': 2, 'red red': 0}}"
191,47,ward,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green green': 0, 'green green green green green green': 0, 'green green green green green green green': 0, 'green green green green green green green green': 0, 'green red red': 12, 'red green green green green green green green green': 0, 'red red': 1}, 2: {'green green': 4, 'green green green': 1, 'green green green green green': 1, 'green green green green green green': 1, 'green green green green green green green': 3, 'green green green green green green green green': 2, 'green red red': 0, 'red green green green green green green green green': 2, 'red red': 0}}"
192,48,single,Jaccard,2,"{1: {'green red red red red red red': 0, 'red green green green green': 5, 'red red': 0, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0, 'red red red red red red': 0}, 2: {'green red red red red red red': 3, 'red green green green green': 0, 'red red': 1, 'red red red': 1, 'red red red red': 2, 'red red red red red': 2, 'red red red red red red': 3}}"
193,48,complete,Jaccard,2,"{1: {'green red red red red red red': 0, 'red green green green green': 5, 'red red': 0, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0, 'red red red red red red': 0}, 2: {'green red red red red red red': 3, 'red green green green green': 0, 'red red': 1, 'red red red': 1, 'red red red red': 2, 'red red red red red': 2, 'red red red red red red': 3}}"
194,48,average,Jaccard,2,"{1: {'green red red red red red red': 0, 'red green green green green': 5, 'red red': 0, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0, 'red red red red red red': 0}, 2: {'green red red red red red red': 3, 'red green green green green': 0, 'red red': 1, 'red red red': 1, 'red red red red': 2, 'red red red red red': 2, 'red red red red red red': 3}}"
195,48,ward,Jaccard,2,"{1: {'green red red red red red red': 0, 'red green green green green': 5, 'red red': 0, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0, 'red red red red red red': 0}, 2: {'green red red red red red red': 3, 'red green green green green': 0, 'red red': 1, 'red red red': 1, 'red red red red': 2, 'red red red red red': 2, 'red red red red red red': 3}}"
196,49,single,Jaccard,2,"{1: {'green red red red red red red red': 2, 'red green green': 0, 'red green green green': 0, 'red red': 2, 'red red red': 3, 'red red red red': 1, 'red red red red red': 2, 'red red red red red red': 2, 'red red red red red red red': 2}, 2: {'green red red red red red red red': 0, 'red green green': 4, 'red green green green': 6, 'red red': 0, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0, 'red red red red red red': 0, 'red red red red red red red': 0}}"
197,49,complete,Jaccard,2,"{1: {'green red red red red red red red': 2, 'red green green': 4, 'red green green green': 6, 'red red': 2, 'red red red': 3, 'red red red red': 1, 'red red red red red': 2, 'red red red red red red': 2, 'red red red red red red red': 2}}"
198,49,average,Jaccard,2,"{1: {'green red red red red red red red': 0, 'red green green': 4, 'red green green green': 6, 'red red': 0, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0, 'red red red red red red': 0, 'red red red red red red red': 0}, 2: {'green red red red red red red red': 2, 'red green green': 0, 'red green green green': 0, 'red red': 2, 'red red red': 3, 'red red red red': 1, 'red red red red red': 2, 'red red red red red red': 2, 'red red red red red red red': 2}}"
199,49,ward,Jaccard,2,"{1: {'green red red red red red red red': 0, 'red green green': 4, 'red green green green': 6, 'red red': 0, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0, 'red red red red red red': 0, 'red red red red red red red': 0}, 2: {'green red red red red red red red': 2, 'red green green': 0, 'red green green green': 0, 'red red': 2, 'red red red': 3, 'red red red red': 1, 'red red red red red': 2, 'red red red red red red': 2, 'red red red red red red red': 2}}"
